CHINESE L,CHINESE R,ENGLISH L,ENGLISH R
不是三明治,三明治,Not a sandwich,A sandwich
安静的地方,吵闹的地方,Quiet place,Loud place
喜剧,戏剧,Comedy,Drama
危险的,安全的,Dangerous,Safe
文化意义重大的,文化意义无关紧要的,Culturally significant,Culturally insignificant
可替换的,不可替换的,Replaceable,Irreplaceable
有史以来最差的运动员,有史以来最好的运动员,Worst athlete of all time,Greatest athlete of all time
榜样,坏影响,Role model,Bad influence
没用的专业,有用的专业,Useless major,Useful major
和平的,好战的,Peaceful,Warlike
被低估的电影,被高估的电影,Underrated movie,Overrated movie
粗糙的,光滑的,Rough,Smooth
对你有害的,对你有益的,Bad for you,Good for you
圆的,尖的,Round,Pointy
神存在的证据,神不存在的证据,Proof that God exists,Proof that God doesn’t exist
悲伤的电影,开心的电影,Sad movie,Happy movie
浪费时间,充分利用时间,Waste of time,Good use of time
吓人的动物,美好的动物,Scary animal,Nice animal
主流,非主流,Mainstream,Niche
短命的,长寿的,Short lived,Long lived
没人这么做,人人都这么做,Nobody does it,Everybody does it
难闻的,好闻的,Smells bad,Smells good
星球大战,星际迷航,Star Wars,Star Trek
零食,正餐,Snack,Meal
最不邪恶的公司,最邪恶的公司,Least evil company,Most evil company
柔软,坚硬,Soft,Hard
粗茶淡饭,佳肴美馔,Sustenance,Haute cuisine
方,圆,Square,Round
热的更好,冷的更好,Better hot,Better cold
愚蠢的,聪慧的,Stupid,Brilliant
手工艺的,量产的,Artisanal,Mass produced
坏的超能力,好的超能力,Bad superpower,Good superpower
无效的,有效的,Ineffective,Effective
难以置信的,可信的,Unbelievable,Believable
垃圾的,上等的,Trashy,Classy
临时的,永久的,Temporary,Permanent
看起来像人的,看起来不像人的,Looks like a person,Doesn't look like a person
难吃的,好吃的,Tastes bad,Tastes good
运动,游戏,Sport,Game
不酷的,酷的,Uncool,Cool
活着的最烂的人,活着的最伟大的人,Worst living person,Greatest living person
被低估的,被高估的,Underrated,Overrated
脏乱的食物,干净的食物,Messy food,Clean food
不道德的,道德的,Unethical,Ethical
差礼物,好礼物,Bad gift,Good gift
过时的,时髦的,Unfashionable,Fashionable
自由斗士,恐怖分子,Freedom fighter,Terrorist
不可原谅的,可以原谅的,Unforgiveable,Forgiveable
失败品,大师杰作,Failure,Masterpiece
无害的,有害的,Harmless,Harmful
葛莱芬多,斯莱特林,Gryffindor,Slytherin
不卫生的,卫生的,Unhygienic,Hygienic
差音乐,好音乐,Bad music,Good music
无用的,有用的专业,Useless,Useful
哥斯拉会毁掉的电影,哥斯拉会加分的电影,Movie that Godzilla would ruin,Movie that Godzilla would improve
不重要的,重要的,Unimportant,Important
容易拼写的,不易拼写的,Easy to spell,Hard to spell
恶习,美德,Vice,Virtue
被低估的音乐家,被高估的音乐家,Underrated musician,Overrated musician
不流行的活动,流行的活动,Unpopular activity,Popular activity
分开的,整体的,Divided,Whole
不可靠的,可靠地,Unreliable,Reliable
容易杀死的,不易杀死的,Easy to kill,Hard to kill
不稳定的,稳定的,Unstable,Stable
圆圆的动物,尖尖的动物,Round animal,Pointy animal
差的电视剧,好的电视剧,Bad TV show,Good TV show
传统男性的,传统女性的,Traditionally masculine,Traditionally feminine
无用的身体部位,有用的身体部位,Useless body part,Useful body part
一时的流行,经典,Fad,Classic
弱的,强的,Weak,Strong
恶心的麦片,美味的麦片,Disgusting cereal,Delicious cereal
无用的发明,有用的发明,Useless invention,Useful invention
自由主义,保守主义,Liberal,Conservative
不流行的,流行的,Unpopular,Popular
朋友,敌人,Friend,Enemy
无聊的,刺激的,Boring,Exciting
难闻的臭味,好闻的臭味,Smelly in a bad way,Smelly in a good way
恶棍,英雄,Villain,Hero
被低估的可做的事,被高估的可做的事,Underrated thing to do,Overrated thing to do
紧急情况下无用,紧急情况下有用,Useless in an emergency,Useful in an emergency
给孩子的,给成人的,For kids,For adults
明智的,聪明的,Wise,Intelligent
容易做的,不易做的,Easy to do,Hard to do
不值钱的,无价的,Worthless,Priceless
自然,养育,Nature,Nurture
独裁制,民主制,Dictatorship,Democracy
普通的问候,怪异的问候,Normal greeting,Weird greeting
狗名字,猫名字,Dog name,Cat name
不偏袒的,偏袒的,Non-partisan,Partisan
有限的,无限的,Limited,Infinite
非正式事件,正式事件,Casual event,Formal event
烂投资,好投资,Bad investment,Good investment
闲聊,沉重的话题,Small talk,Heavy topic
淡味的,辛辣的,Mild,Spicy
虔诚的,亵渎的,Religious,Sacrilegious
不是艺术,艺术,Not art,Art
违法的,被禁止的,Illegal,Prohibited
大众的,精英主义的,Popular,Elitist
失控,掌控中,Out of control,In control
安静的,大声的,Quiet,Loud
不性感的神奇宝贝,性感的神奇宝贝,Unsexy Pokémon,Sexy Pokémon
秘密,公共知识,Secret,Public knowledge
太小,太大,Too small,Too big
短的,长的,Short,Long
历史上最差的一年,历史上最好的一年,Worst year in history,Best year in history
社会主义,资本主义,Socialist,Capitalist
不为人知的事实,众所周知的事实,Little known fact,Well known fact
固定的,机动的,Stationary,Mobile
地方性问题,全球性问题,Local issue,Global issue
天赋,技能,Talent,Skill
时间旅行去的最差的时代,时间旅行去的最好的时代,Worst era to time travel,Best era to time travel
最差的,最好的,The worst,The best
小数字,大数字,Small number,Large number
是,非,TRUE,FALSE
老派的,前卫的,Old fashioned,Avant garde
丑陋的词语,美丽的词语,Ugly word,Beautiful word
小的,微小的,Small,Tiny
非自然的,自然的,Unnatural,Natural
真诚的人,虚伪的人,Genuine person,Phony person
模仿的,原版的,Derivative,Original
礼仪,礼貌,Etiquette,Manners
不性感的颜色,性感的颜色,Unsexy color,Sexy color
对你有益,对所有人有益,Benefits you,Benefits everyone
无力的,强大的,Powerless,Powerful
不蒸汽,蒸汽,Doesn’t vape,Vapes
水果,蔬菜,Fruit,Vegetable
科学,伪科学,Science,Pseudoscience
搞笑话题,严肃话题,Funny topic,Serious topic
软弱的,结实的,Limp,Firm
有负罪感的快乐,事实上就是坏的,Guilty pleasure,Actually just bad
八卦,新闻,Gossip,News
不易坐上,容易坐上,Hard to sit on,Easy to sit on
不够,太多,Not enough,Too much
水平的,垂直的,Horizontal,Vertical
无味的,有味的,Unscented,Scented
可以拥抱的,不可拥抱的,Huggable,Not huggable
混杂的,同类的,Heterogeneous,Homogenous
包含的,排外的,Inclusive,Exclusive
差的狗品种,好的狗品种,Bad dog breed,Good dog breed
艺术,商业,Art,Commerce
昙花一现的艺人,流行偶像,One hit wonder,Pop icon
坏建议,好建议,Bad advice,Good advice
嘀,嗒,Tick,Tock
坏糖,好糖,Bad candy,Good candy
传统的,激进的,Traditional,Radical
坏口感,好口感,Bad mouthfeel,Good mouthfeel
违法的,合法的,Illegal,Legal
深思熟虑,肤浅的想法,Deep thought,Shallow thought
差学校,好学校,Bad school,Good school
从不准时,总是准时,Never on time,Always on time
活不到100岁,会活到100岁,Won't live to 100,Will live to 100
迪士尼坏人物,迪士尼好人物,Bad Disney character,Good Disney character
相似的,相同的,Similar,Identical
差总统,好总统,Bad president,Good president
怪异的,奇怪的,Weird,Strange
著名的,声名狼藉的,Famous,Infamous
最无力的神,最强大的神,Least powerful god,Most powerful god
无聊的人,有趣的人,Boring person,Fun person
被低估的书,被高估的书,Underrated book,Overrated book
传统智慧,边缘信念,Conventional wisdom,Fringe belief
最烂的杂务,最好的杂物,Worst chore,Best chore
濒危物种,泛滥物种,Endangered species,Overpopulated species
蓝,绿,Blue,Green
激动人心的,令人恐惧的,Thrilling,Terrifying
书呆子,运动健将,Nerd,Jock
意料之中的,出乎意料的,Expected,Unexpected
你能暴打的人,能暴打你的人,Person you could beat up,Person who’d beat you up
不可理喻的恐惧症,可以理解的恐惧症,Unreasonable phobia,Reasonable phobia
被低估的游戏,被高估的游戏,Underrated game,Overrated game
